
Title,Company,Salary,Location,ExpireDate,Link,Description
"Chuyên viên ERB - Chuyển Đổi Số
                                             (Mới)",Công Ty Cổ Phần Xây Dựng Phước Thành,Lương: 20 Tr - 25 Tr VND,Hồ Chí Minh,Hạn nộp: 30-11-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-erb-chuyen-doi-so.35C261E5.html,Không có mô tả
Product Manager,CareerViet,Lương: Cạnh tranh,Hồ Chí Minh,,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C21DEE.html,"A Bachelor's Degree in Computer Science/IT, Marketing or related fields.; Minimum 5 years of experience in Web Product Management role.; Solid technical background with understanding and/or hands-on experience in software development and web/mobile technologies.; Strong knowledge of Internet marketing and SEO.; Fluent English (both verbal and writing).; Strong analytical thinking and problem solving skills.; Customer-oriented product development.; Independent, highly driven, confident, dynamic, and an articulate communicator.; Job site/online recruitment software product experience is a plus.; Attractive salary and bonus package; Annually Performance-based bonuses; Quarterly & Yearly Best Performer Awards; Work in a global, dynamic and friendly working environment.; 24/24 Accidental & Healthcare Insurance Package; Annual leave by job level"
Product Owner,CareerViet,Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 26-11-2024,https://careerviet.vn/vi/tim-viec-lam/product-owner.35C1D9A5.html,"A Bachelor's Degree in Computer Science/IT, Marketing or related fields.; Minimum 3 years of experience in Web Product Management role.; Solid technical background with understanding and/or hands-on experience in software development and web/mobile technologies.; Strong knowledge of Internet marketing and SEO.; Fluent English (both verbal and writing).; Strong analytical thinking and problem solving skills.; Customer-oriented product development.; Independent, highly driven, confident, dynamic, and an articulate communicator.; Job site/online recruitment software product experience is a plus.; Attractive salary and bonus package; Annually Performance-based bonuses; Quarterly & Yearly Best Performer Awards; Work in a global, dynamic and friendly working environment.; 24/24 Accidental & Healthcare Insurance Package; Annual leave by job level"
Giám sát IT (Chuyên hệ thống ERP)/ ERP Supervisor,CÔNG TY TNHH CIRQL MANUFACTURING VIETNAM,Lương: 25 Tr - 30 Tr VND,Hồ Chí Minh,Hạn nộp: 15-12-2024,https://careerviet.vn/vi/tim-viec-lam/giam-sat-it-chuyen-he-thong-erp-erp-supervisor.35C25C7D.html,Không có mô tả
Senior Business Analyst,CÔNG TY TNHH CÔNG NGHỆ B2B,"Lương: 800 - 1,000 USD",Hồ Chí Minh,Hạn nộp: 07-12-2024,https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C1FBB1.html,Không có mô tả
Solution Architect - Hybrid working,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI  (SHBFinance),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-12-2024,https://careerviet.vn/vi/tim-viec-lam/solution-architect-hybrid-working.35C1FC4B.html,"Tối thiểu Bằng Cử nhân chuyên ngành Khoa học Máy tính, Công nghệ Thông tin hoặc các lĩnh vực liên quan. Chứng chỉ ngành công nghiệp như TOGAF hoặc Azure, AWS Certified Solutions Architect là một lợi thế./Minimum bachelor's degree in Computer Science Computer Science, Information Technology, or related field. Certifications such as TOGAF or Azure, AWS Certified Solutions Architect is a plus.; Ít nhất 01 năm kinh nghiệm làm Kiến trúc sư giải pháp hoặc vai trò tương tự trong ngành tài chính - ngân hàng, chứng khoán, bảo hiểm hoặc fintech...At least 01 years of experience as a Solution Architect or a similar role  in the banking - finance, consumer finance, securities, insurance, fintech industry.; Sử dụng thành thạo tiếng Anh trong công việc/ Business proficient level of English (TOEIC, IELTS certificates or equivalent) to attend meetings with non Vietnamese stakeholders, provide support to applications, help team to take the best decision and document your work.; Kiến thức sâu về kiến trúc phần mềm và phần cứng, điện toán đám mây và các công nghệ tích hợp./In-depth knowledge of software and hardware architecture, cloud computing, and integration technologies; Kiến thức sâu về nguyên lý lập trình phần mềm (ví dụ: SOLID), mẫu thiết kế (ví dụ: GoF) và các thực tiễn tốt nhất./In-depth knowledge of software programming principles (e.g., SOLID), design patterns (e.g., GoF), and best practices.; Chuyên môn về tích hợp hệ thống, kiến trúc doanh nghiệp và khả năng mở rộng./Expertise in system integration, enterprise architecture, and scalability.; Khả năng chứng minh thành công trong môi trường phát triển linh hoạt theo phương pháp Agile như XP, Scrum và các khung như SAFe, Spotify, Scrum@Scale, LeSS, ...v.v./Proven ability to thrive in an agile development environment following either XP, Scrum and enterprise at scale framework like SAFe, Spotify, Scrum@Scale, LeSS, ..etc.; Quen thuộc với các ngôn ngữ lập trình khác nhau (ví dụ: Java, .NET, Go, Python, nodejs, …v.v.) và các phương pháp phát triển phần mềm (ví dụ: Agile, DevOps, lý thuyết và thực tiễn CI/CD)./Familiarity with various programming languages (e.g., Java, .NET, Go, Python, nodejs, …etc) and software development methodologies (e.g., Agile, DevOps, CI/CD theory and practices).; Kiến thức về các framework phát triển di động (ví dụ: Native Android/iOS, Flutter, ReactJS)./Knowledge of mobile development frameworks (e.g., Native Android/iOS, Flutter, ReactJS).; Kinh nghiệm với các framework phát triển front-end (ví dụ: Angular, React, Vue)./Experience with front-end development frameworks (e.g., Angular, React, Vue).; Có khả năng thiết lập và phát triển các tiêu chuẩn và chính sách doanh nghiệp./Able to establish and develop standards and enterprise policy.; Khả năng phân tích và định lượng/ Analytical and quantitative skills; Khả năng tư duy logic/ Logical thinking; Khả năng tư duy chiến lược/ Ability Strategic thinking; Khả năng giải quyết vấn đề/Ability to solve problems"
Senior Business Intelligence Analyst - Corporate Banking - Hà Nội,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-12-2024,https://careerviet.vn/vi/tim-viec-lam/senior-business-intelligence-analyst-corporate-banking-ha-noi.35C1FC5C.html,"Tốt nghiệp Đại học về kinh tế/ngân hàng/tài chính/công nghệ thông tin; Có 4 năm kinh nghiệm trở lên liên quan đến báo cáo và phân tích cho ngân hàng; Có kiến thức về ngân hàng, sản phẩm, dịch vụ, mô hình kinh doanh; Có kiến thức về hệ thống dữ liệu, hệ thống báo cáo phân tích kinh doanh; Kỹ năng sử dụng thành thạo các công cụ quản lý dữ liệu (SQL, Oracle…); Kỹ năng báo cáo, phân tích sử dụng đa công cụ (Excel, BI tools, R…); Kỹ năng giao tiếp và tương tác tốt, ưu tiên sử dụng được tiếng Anh; Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực; Thưởng các Ngày lễ, Tết (theo chính sách ngân hàng từng thời kỳ); Được vay ưu đãi theo chính sách ngân hàng từng thời kỳ; Chế độ ngày phép hấp dẫn theo cấp bậc công việc; Bảo hiểm bắt buộc theo luật lao động + Bảo hiểm VPBank care cho CBNV tùy theo cấp bậc và thời gian công tác; Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí; Thời gian làm việc: từ thứ 2 – thứ 6 & nghỉ 2 t7 trong tháng; Môi trường làm việc năng động, thân thiện, có nhiều cơ hội học đào tạo, học hỏi và phát triển; được tham gia nhiều hoạt động văn hóa thú vị (cuộc thi về thể thao, tài năng, hoạt động teambuiding...)"
Software Developer,Phuc Thang Fine Furniture,Lương: Cạnh tranh,Bình Dương,Hạn nộp: 06-12-2024,https://careerviet.vn/vi/tim-viec-lam/software-developer.35C25522.html,Không có mô tả
Chuyên Viên Cao Cấp Phân Tích Nghiệp Vụ (BA Data),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 25-11-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-nghiep-vu-ba-data.35C232F5.html,"Trình độ chuyên môn: Tốt nghiệp Đại học trở lên chuyên ngành Kinh tế, Ngân hàng, Kế toán…; Am hiểu hoạt động kinh doanh và các sản phẩm dịch vụ của ngân hàng;; Am hiểu các quy định của pháp luật và NHNN trong lĩnh vực ngân hàng, đầu tư tài chính;; Có kiến thức sâu về ngân hàng, hoạt động tài chính, phân tích kinh doanh, phân tích tài chính, thị trường vốn, trao đổi tiền tệ, kế toán quản trị, hệ thống thông tin và cơ sở dữ liệu của ngân hàng …; Trình độ Tin học: thành thạo tin văn phòng; Trình độ ngoại ngữ (Tiếng Anh): giao tiếp thành thạo; Kinh nghiệm: Có ít nhất 4 - 6 năm kinh nghiệm làm việc tài chính, ngân hàng, phân tích nghiệp vụ...; Ưu tiên có kinh nghiệm làm việc về kiểm toán, kế toán tổng hợp, thông tin báo cáo, kế hoạch ngân sách, phân tích kinh doanh, tài chính trong hệ thống ngân hàng.; Khả năng nắm bắt công việc nhanh, quản lý, sắp xếp, xử lý công việc khoa học; Thành thạo các phần mềm tính toán, phân tích số liệu và có khả năng làm việc tốt với số liệu; Kỹ năng tổng hợp, trình bày báo cáo tốt; phân tích, tư vấn tốt về cơ chế ghi nhận kết quả kinh doanh, các chiều phân tích dữ liệu, …; Khả năng làm việc độc lập, phối hợp làm việc nhóm tốt; Khả năng giao tiếp tốt; Có khả năng hoạch định công việc, có tinh thần trách nhiệm cao trong công việc; Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực; Thưởng các Ngày lễ, Tết (theo chính sách ngân hàng từng thời kỳ); Được vay ưu đãi theo chính sách ngân hàng từng thời kỳ; Chế độ ngày phép hấp dẫn theo cấp bậc công việc; Bảo hiểm bắt buộc theo luật lao động + Bảo hiểm VPBank care cho CBNV tùy theo cấp bậc và thời gian công tác; Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí; Thời gian làm việc: từ thứ 2 – thứ 6 & sáng thứ 7; Môi trường làm việc năng động, thân thiện, có nhiều cơ hội học đào tạo, học hỏi và phát triển; được tham gia nhiều hoạt động văn hóa thú vị (cuộc thi về thể thao, tài năng, hoạt động teambuiding...)"
Chuyên viên chính/Chuyên viên cao cấp vận hành mô hình - Trung tâm Quản trị dữ liệu,Ngân Hàng TMCP Tiên Phong (TPBank),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 20-12-2024,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-van-hanh-mo-hinh-trung-tam-quan-tri-du-lieu.35C244D2.html,"Thử việc 100% lương cơ bản, tổng thu nhập 15-18 tháng/năm; Thưởng dự án và thưởng cuối năm cao; Môi trường làm việc sáng tạo, hiện đại, quản lý theo tiến độ và hiệu quả công việc, giờ làm việc linh hoạt; Đội ngũ lãnh đạo thân thiện, hòa đồng, quan tâm đến sự phát triển của các cá nhân; Nhân viên được đào đạo tận tình các kĩ năng mềm và nghiệp vụ chuyên sâu; Không khí vui vẻ, đồng nghiệp trẻ trung, năng động; Nhiều hoạt động tập thể lý thú và ý nghĩa: bóng đá, karaoke, đi phượt, du lịch, từ thiện hàng năm; Trợ cấp thai sản cho nhân viên nữ; Tổ chức khám sức khỏe tổng quát định kỳ hàng năm, mua thêm gói bảo hiểm sức khỏe cho nhân viên ngoài Bảo hiểm y tế"
