Title,Company,Salary,Location,ExpireDate,Link,Description
"Giám sát IT (Chuyên hệ thống ERP)/ ERP Supervisor
                                             (Mới)",CÔNG TY TNHH CIRQL MANUFACTURING VIETNAM,Lương: 25 Tr - 30 Tr VND,Bình Dương,Hạn nộp: 09-01-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-it-chuyen-he-thong-erp-erp-supervisor.35C2A5C8.html,Không có mô tả
Product Manager,CareerViet,Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 31-12-2024,https://careerviet.vn/vi/tim-viec-lam/product-manager.35C28730.html,"A Bachelor's Degree in Computer Science/IT, Marketing or related fields.; Minimum 5 years of experience in Web Product Management role.; Solid technical background with understanding and/or hands-on experience in software development and web/mobile technologies.; Strong knowledge of Internet marketing and SEO.; Fluent English (both verbal and writing).; Strong analytical thinking and problem solving skills.; Customer-oriented product development.; Independent, highly driven, confident, dynamic, and an articulate communicator.; Job site/online recruitment software product experience is a plus.; Attractive salary and bonus package; Annually Performance-based bonuses; Quarterly & Yearly Best Performer Awards; Work in a global, dynamic and friendly working environment.; 24/24 Accidental & Healthcare Insurance Package; Annual leave by job level"
"Chuyên viên Quản trị Vận hành Ứng dụng ngoài Core
                                             (Mới)",Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-van-hanh-ung-dung-ngoai-core.35C2A4B3.html,Không có mô tả
Trưởng nhóm Công nghệ thông tin (Web/App),VinWonders,Lương: 30 Tr - 50 Tr VND,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-cong-nghe-thong-tin-web-app.35C1FDCF.html,Không có mô tả
Senior Nodejs Backend Developer (Chuyên Viên Lập Trình),CÔNG TY CỔ PHẦN KING FOOD MARKET,Lương: 21 Tr - 40 Tr VND,Hồ Chí Minh,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/senior-nodejs-backend-developer-chuyen-vien-lap-trinh.35C1FDD4.html,"Từ 3 năm kinh nghiệm ở vị trí tương đương trở lên.; Có kiến thức tốt và toàn diện về NodeJS để có thể độc lập làm việc và tự nghiên cứu.; Có kinh nghiệm làm việc với kiến trúc microservice, hiểu và ứng dụng được các khái niệm trong kiến trúc microservice như: service discovery, service registry, distributed tracing, asynchronous processing.; Có kiến thức Docker, Docker-compose, K8s.; Có kinh nghiệm làm việc với các tool CI/CD như gitlab, jenkin.; Có kinh nghiệm viết Unit-test, Performance-test, E2e-test.; Có kinh nghiệm làm việc với cơ sở dữ liệu MongoDB, Redis, Elasticsearch và các cơ sở dữ liệu quan hệ khác như: Clickhouse, Mysql, Postgree v..v; Có kinh nghiệm làm việc với hệ thống message queue như: RabbitMq, Kafka.; Có tư logic tốt trong việc xử lý các yêu cầu liên quan đến quy trình và số liệu; Sử dụng thành tạo công cụ quản lý version source code: Git, Gitlab.; Có tinh thần làm việc của startup và sẵn sàng chia sẻ đào tạo cho đồng nghiệp."
Chuyên viên Phát triển ứng dụng Công nghệ thông tin,OCEAN BANK - NGÂN HÀNG THƯƠNG MẠI TNHH MTV ĐẠI DƯƠNG,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-ung-dung-cong-nghe-thong-tin.35C1FC6E.html,Không có mô tả
Trưởng Phòng phát triển CRM,CÔNG TY TNHH FDI FINANCE,Lương: 20 Tr - 35 Tr VND,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-phat-trien-crm.35C1FF72.html,Không có mô tả
Business Analyst,Công Ty Cổ Phần Metub Việt Nam,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/business-analyst.35C1FE22.html,Không có mô tả
Hybrid Mobile Engineer,Adnovum Vietnam,Lương: Cạnh tranh,Hồ Chí Minh,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/hybrid-mobile-engineer.35C25B99.html,"Bachelor’s degree in Computer Science or equivalent; Minimum 5 years of experience in mobile software development; Strong expertise in JavaScript, HTML, and CSS.; Knowledge in Java back-end development (Spring, REST, JSON); Proven experience with native Android development; Familiarity with hybrid mobile development tools (such as Cordova) is a plus; Excellent English communication skills, both spoken and written"
"Chuyên gia quản lý rủi ro an ninh thông tin, Phòng Quản trị rủi ro hoạt động, Khối Quản trị rủi ro",Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Lương: Cạnh tranh,Hà Nội,Hạn nộp: 07-01-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-quan-ly-rui-ro-an-ninh-thong-tin-phong-quan-tri-rui-ro-hoat-dong-khoi-quan-tri-rui-ro.35C25C24.html,"Sử dụng thành thạo tiếng Anh chuyên ngành; có khả năng giải quyết công việc độc lập, kỹ năng làm việc nhóm.; Có kỹ năng phân tích, tổng hợp thông tin, kỹ năng viết báo cáo.; Có kỹ năng phản biện và chú ý đến chi tiết.; Có khả năng đi công tác, chịu áp lực cao trong công việc."
